date,status,type,check_number,description,withdrawal,deposit,running_balance,category
12/31/24,Posted,INTADJUST,,Interest Paid,,0.25,960.35
12/31/24,Posted,VISA,,COSTCO WHSE #0481 GILBERT,186.28,,960.10
12/31/24,Posted,ACH,,VERIZON WIRELESS PAYMENTS 241230~ Tran:,459.52,,1146.38
12/30/24,Posted,ACH,,PAYPAL INST XFER 241228,95.29,,1605.90
12/30/24,Posted,ACH,,PAYPAL INST XFER 241228,10.40,,1701.19
12/30/24,Posted,ACH,,PAYPAL INST XFER 241227,8.44,,1711.59
12/27/24,Posted,DEBIT,,ZELLE TO GARRETT  GOODMAN,650.00,,1720.03
12/26/24,Posted,ACH,,GLOBAL CREDIT UN PAYMENT,489.79,,2370.03
12/25/24,Posted,VISA,,OPALSTACK WEB HOSTING OPALSTACK.COM,11.50,,2859.82
12/25/24,Posted,VISA,,HOBBY LOBBY #393 MESA,87.13,,2871.32
12/24/24,Posted,ACH,,VENMO PAYMENT 241223,21.00,,2958.45
12/24/24,Posted,ACH,,PAYPAL INST XFER 241223,15.09,,2979.45
12/23/24,Posted,ACH,,CANVA PTY LIMITED IAT PAYPAL USDUSD,15.00,,2994.54
12/23/24,Posted,ACH,,VENMO PAYMENT 241222,50.00,,3009.54
12/23/24,Posted,ACH,,WF CREDIT CARD AUTO PAY 241222,25.00,,3059.54
12/23/24,Posted,ACH,,CITI CARD ONLINE PAYMENT 241220,369.40,,3084.54
12/23/24,Posted,ACH,,CAPITAL ONE TRANSFER,200.00,,3453.94
12/23/24,Posted,ACH,,SHELL AUTO PYMT 241222,149.65,,3653.94
12/23/24,Posted,ACH,,PAYPAL INST XFER 241220,91.23,,3803.59
12/23/24,Posted,VISA,,AMAZON MKTPL*ZE9EE60G2 Amzn.com/bill,83.37,,3894.82
12/23/24,Posted,ACH,,AMEX EPAYMENT RETRY PYMT 241218~ Tran: A,1425.15,,3978.19
12/22/24,Posted,VISA,,SXM*SIRIUSXM.COM/ACCT 888-635-5144,23.05,,5403.34
12/21/24,Posted,VISA,,SHELL OIL ...971000 GILBERT,12.24,,5426.39
12/21/24,Posted,VISA,,APPLE.COM/BILL 866-712-7753,3.24,,5438.63
12/21/24,Posted,VISA,,AMAZON MKTPL*Z94FE2FS1 Amzn.com/bill,291.27,,5441.87
12/21/24,Posted,VISA,,APPLE.COM/BILL 866-712-7753,1.07,,5733.14
12/21/24,Posted,VISA,,ARIZONA ARSENAL SC HTTPSWWW.AZAR,361.42,,5734.21
12/20/24,Posted,VISA,,SQ *ATZIN AND ATZIN Phoenix,7.75,,6095.63
12/20/24,Posted,VISA,,SQ *KRAZY TATERS & NUTS Queen Creek,16.25,,6103.38
12/20/24,Posted,VISA,,SQ *SCHNEPF FARMS Queen Creek,11.40,,6119.63
12/20/24,Posted,VISA,,SQ *RCR HOLIDAY PRODUCT Queen Creek,24.00,,6131.03
12/20/24,Posted,VISA,,SQ *RCR HOLIDAY PRODUCT Queen Creek,9.00,,6155.03
12/20/24,Posted,VISA,,SQ *ATZIN AND ATZIN Phoenix,9.75,,6164.03
12/20/24,Posted,TRANSFER,,Funds Transfer to Brokerage ...209,100.00,,6173.78
12/20/24,Posted,ACH,,IRS USATAXPYMT 122024,29.35,,6273.78
12/20/24,Posted,ACH,,"OPTUM SERVICES, PAYROLL 241214~ Tran: AC",,5197.78,6303.13
12/19/24,Posted,DEBIT,,ZELLE TO GLEN  MULDER,100.00,,1105.35
12/19/24,Posted,VISA,,Netflix.com NETFLIX.COM LOS GATOS,24.78,,1205.35
12/19/24,Posted,VISA,,APPLE.COM/BILL 866-712-7753,10.82,,1230.13
12/18/24,Posted,TRANSFER,,Funds Transfer from Brokerage ...209,,299.77,1240.95
12/18/24,Posted,VISA,,APPLE.COM/BILL 866-712-7753,10.82,,941.18
12/18/24,Posted,ACH,,SALLIE MAE BANK AUTOPAY 241217,25.00,,952.00
12/18/24,Posted,ACH,,AMEX EPAYMENT ACH PMT 241218,93.66,,977.00
12/18/24,Posted,ACH,,COX COMM PHX BANK DRAFT 121724,64.99,,1070.66
12/18/24,Posted,ACH,,PAYPAL INST XFER 241217,36.99,,1135.65
